WkrNr,Wahlkreis,Insgesamt,CDU/CSU,SPD,FDP,DIE LINKE,GRÜNE
290,Tübingen,148281,61889,30417,8208,9820,21978
291,Ulm,165468,80370,33432,8662,7087,17023
292,Biberach,120088,67567,17814,5851,4075,10887
293,Bodensee,127209,61961,23125,8086,5629,14955
294,Ravensburg,134506,67251,23266,7047,5770,16571
295,Zollernalb – Sigmaringen,131061,69176,22447,7393,5359,11008
296,Saarbrücken,139335,46513,43329,6246,16268,10910
297,Saarlouis,149930,60052,46037,5480,13458,7873
298,St. Wendel,134193,54911,40861,4514,12139,6088
299,Homburg,139102,50892,44365,5266,14180,7127
