WkrNr;Wahlkreis;Wahlb. insges.;Wählerinnen /Wähler;Gültige Stimmen;Dr. Weyland,Bernadette;Feldmann,Peter;Dr. Eskandari-Grünberg,Nargess;Wißler,Janine;Wehnemann,Nico;Weingärtner,Michael;Yang,Ming;Stein,Volker;Dr. Herrschaft,Felicia;Schloberg,Karsten;Wünsch,Juli;Fischer,Hein;
;;;;;;;;;;;;;;;;;
;Stadtteil Altstadt;;;;;;;;;;;;;;;;
 ; in %; ;38,0;99,4;17,9;47,0;15,8;13,3;1,2;0,6;0,6;3,0;0,0;0,6;0,0;0,0;
25102;IGS-Herder;1.256;401;399;74;183;54;53;8;11;1;12;0;2;1;0;
 ; in %; ;35,9;99,5;18,5;45,9;13,5;13,3;2,0;2,8;0,3;3,0;0,0;0,5;0,3;0,0;
25103;August-Stunz-Zentrum;1.490;416;413;58;232;45;49;2;1;3;19;1;1;1;1;
 ; in %; ;30,6;99,3;14,0;56,2;10,9;11,9;0,5;0,2;0,7;4,6;0,2;0,2;0,2;0,2;
25104;IGS-Herder;933;287;285;42;130;46;45;2;4;1;6;1;7;1;0;
 ; in %; ;33,8;99,3;14,7;45,6;16,1;15,8;0,7;1,4;0,4;2,1;0,4;2,5;0,4;0,0;
25201;Helmholtzschule;1.670;548;543;98;253;64;71;10;8;0;35;1;3;0;0;
 ; in %; ;37,6;99,1;18,0;46,6;11,8;13,1;1,8;1,5;0,0;6,4;0,2;0,6;0,0;0,0;
25202;Helmholtzschule;1.402;533;529;81;258;80;73;8;3;2;13;1;6;3;1;
 ; in %; ;43,6;99,2;15,3;48,8;15,1;13,8;1,5;0,6;0,4;2,5;0,2;1,1;0,6;0,2;
25203;Stauffenbergschule;1.402;462;461;70;223;66;70;9;1;2;15;0;4;1;0;
 ; in %; ;37,2;99,8;15,2;48,4;14,3;15,2;2,0;0,2;0,4;3,3;0,0;0,9;0,2;0,0;
25204;Dahlmannschule;1.421;570;562;98;281;73;63;5;11;1;24;1;4;1;0;
 ; in %; ;45,8;98,6;17,4;50,0;13,0;11,2;0,9;2,0;0,2;4,3;0,2;0,7;0,2;0,0;
25205;Dahlmannschule;1.374;648;646;159;330;57;65;4;7;0;19;1;3;1;0;
 ; in %; ;53,4;99,7;24,6;51,1;8,8;10,1;0,6;1,1;0,0;2,9;0,2;0,5;0,2;0,0;
26101;August-Stunz-Zentrum;1.670;311;308;73;136;37;29;6;4;2;14;1;6;0;0;
 ; in %; ;20,4;99,0;23,7;44,2;12,0;9,4;1,9;1,3;0,6;4,5;0,3;1,9;0,0;0,0;
26102;Volkshochschule;1.601;344;343;70;173;25;33;5;8;2;19;0;7;0;1;
 ; in %; ;23,4;99,7;20,4;50,4;7,3;9,6;1,5;2,3;0,6;5,5;0,0;2,0;0,0;0,3;
90801;Briefwahl Ostend;0;380;378;128;138;39;30;7;4;2;17;3;9;0;1;
 ; in %; ;0,0;99,5;33,9;36,5;10,3;7,9;1,9;1,1;0,5;4,5;0,8;2,4;0,0;0,3;
90802;Briefwahl Ostend;0;399;396;111;158;47;32;6;3;7;20;1;9;2;0;
 ; in %; ;0,0;99,2;28,0;39,9;11,9;8,1;1,5;0,8;1,8;5,1;0,3;2,3;0,5;0,0;
90803;Briefwahl Ostend;0;439;435;121;176;56;48;4;1;6;17;1;3;2;0;
 ; in %; ;0,0;99,1;27,8;40,5;12,9;11,0;0,9;0,2;1,4;3,9;0,2;0,7;0,5;0,0;
90804;Briefwahl Ostend;0;514;513;151;193;81;48;2;6;0;20;4;4;4;0;
 ; in %; ;0,0;99,8;29,4;37,6;15,8;9,4;0,4;1,2;0,0;3,9;0,8;0,8;0,8;0,0;
90805;Briefwahl Ostend;0;309;309;76;160;28;15;5;4;0;16;0;4;1;0;
 ; in %; ;0,0;100;24,6;51,8;9,1;4,9;1,6;1,3;0,0;5,2;0,0;1,3;0,3;0,0;
;Stadtteil Ostend ges.;20.946;8.411;8.358;1.782;3.873;1.054;913;109;98;38;363;17;86;20;5;
 ; in %; ;40,2;99,4;21,3;46,3;12,6;10,9;1,3;1,2;0,5;4,3;0,2;1,0;0,2;0,1;
;;;;;;;;;;;;;;;;;
;Stadtteil Praunheim;;;;;;;;;;;;;;;;
42201;Ebelfeldschule;1.457;494;491;112;212;52;54;7;6;0;42;2;3;0;1;
 ; in %; ;40,0;99,4;22,8;43,2;10,6;11,0;1,4;1,2;0,0;8,6;0,4;0,6;0,0;0,2;
42202;Ebelfeldschule;1.658;474;472;81;257;31;53;5;4;2;36;0;1;0;2;
 ; in %; ;31,0;99,6;17,2;54,4;6,6;11,2;1,1;0,8;0,4;7,6;0,0;0,2;0,0;0,4;
42203;Ebelfeldschule;1.396;427;425;106;204;18;31;2;8;2;45;2;2;4;1;
 ; in %; ;35,2;99,5;24,9;48,0;4,2;7,3;0,5;1,9;0,5;10,6;0,5;0,5;0,9;0,2;
42301;Liebigschule;854;225;224;32;140;6;22;2;2;1;17;1;1;0;0;
 ; in %; ;29,3;99,6;14,3;62,5;2,7;9,8;0,9;0,9;0,4;7,6;0,4;0,4;0,0;0,0;
42302;Liebigschule;929;248;246;37;144;13;24;4;6;1;15;0;0;2;0;
 ; in %; ;28,8;99,2;15,0;58,5;5,3;9,8;1,6;2,4;0,4;6,1;0,0;0,0;0,8;0,0;
42401;Pflegeheim Praunheim;978;365;364;100;158;35;39;4;3;2;18;0;3;2;0;
 ; in %; ;45,1;99,7;27,5;43,4;9,6;10,7;1,1;0,8;0,5;4,9;0,0;0,8;0,5;0,0;
42501;Pflegeheim Praunheim;1.554;425;424;100;175;42;50;1;10;1;41;0;3;1;0;
 ; in %; ;29,4;99,8;23,6;41,3;9,9;11,8;0,2;2,4;0,2;9,7;0,0;0,7;0,2;0,0;
42601;Römerstadtschule;1.192;234;230;49;138;7;17;0;5;0;9;1;2;2;0;
 ; in %; ;21,3;98,3;21,3;60,0;3,0;7,4;0,0;2,2;0,0;3,9;0,4;0,9;0,9;0,0;
42602;Europäische Schule;1.075;371;368;79;187;24;43;0;5;2;24;0;2;2;0;
 ; in %; ;38,9;99,2;21,5;50,8;6,5;11,7;0,0;1,4;0,5;6,5;0,0;0,5;0,5;0,0;
92201;Briefwahl Praunheim;0;489;483;139;220;36;36;2;14;2;30;0;2;2;0;
 ; in %; ;0,0;98,8;28,8;45,5;7,5;7,5;0,4;2,9;0,4;6,2;0,0;0,4;0,4;0,0;
92202;Briefwahl Praunheim;0;391;389;107;175;30;40;1;6;1;25;0;2;2;0;
 ; in %; ;0,0;99,5;27,5;45,0;7,7;10,3;0,3;1,5;0,3;6,4;0,0;0,5;0,5;0,0;
92203;Briefwahl Praunheim;0;222;221;85;99;10;7;0;7;0;10;0;2;1;0;
 ; in %; ;0,0;99,5;38,5;44,8;4,5;3,2;0,0;3,2;0,0;4,5;0,0;0,9;0,5;0,0;
;Stadtteil Praunheim ges.;11.093;4.365;4.337;1.027;2.109;304;416;28;76;14;312;6;23;18;4;
 ; in %; ;39,3;99,4;23,7;48,6;7,0;9,6;0,6;1,8;0,3;7,2;0,1;0,5;0,4;0,1;
;;;;;;;;;;;;;;;;;
;Stadtteil Preungesheim;;;;;;;;;;;;;;;;
47001;Kita New Betts;1.470;473;473;99;232;37;48;4;11;2;29;2;8;1;0;
 ; in %; ;34,8;100;20,9;49,0;7,8;10,1;0,8;2,3;0,4;6,1;0,4;1,7;0,2;0,0;
47002;Festeburggemeinde;1.308;537;537;114;237;58;64;7;2;1;46;1;5;2;0;
 ; in %; ;47,5;100;21,2;44,1;10,8;11,9;1,3;0,4;0,2;8,6;0,2;0,9;0,4;0,0;
47003;Carlo-Mierendorff-Schule;1.671;310;307;55;179;13;32;2;3;0;20;1;1;0;1;
 ; in %; ;19,7;99,0;17,9;58,3;4,2;10,4;0,7;1,0;0,0;6,5;0,3;0,3;0,0;0,3;
47004;Carlo-Mierendorff-Schule;1.447;304;302;60;192;18;11;2;2;3;13;0;0;1;0;
 ; in %; ;22,0;99,3;19,9;63,6;6,0;3,6;0,7;0,7;1,0;4,3;0,0;0,0;0,3;0,0;
47005;Ev. Kreuzgemeinde;1.628;493;486;117;215;39;46;6;8;2;45;3;5;0;0;
 ; in %; ;33,8;98,6;24,1;44,2;8,0;9,5;1,2;1,6;0,4;9,3;0,6;1,0;0,0;0,0;
47006;Liesel-Oestreicher-Schule;1.221;486;486;76;287;47;36;4;5;0;25;2;3;1;0;
 ; in %; ;43,6;100;15,6;59,1;9,7;7,4;0,8;1,0;0,0;5,1;0,4;0,6;0,2;0,0;
47007;Liesel-Oestreicher-Schule;1.477;581;577;94;330;57;56;3;4;4;23;0;5;1;0;
 ; in %; ;43,1;99,3;16,3;57,2;9,9;9,7;0,5;0,7;0,7;4,0;0,0;0,9;0,2;0,0;
93001;Briefwahl Preungesheim;0;355;354;112;151;21;28;1;5;7;27;0;1;1;0;
 ; in %; ;0,0;99,7;31,6;42,7;5,9;7,9;0,3;1,4;2,0;7,6;0,0;0,3;0,3;0,0;
93002;Briefwahl Preungesheim;0;444;443;111;202;40;26;4;8;5;38;1;3;1;4;
 ; in %; ;0,0;99,8;25,1;45,6;9,0;5,9;0,9;1,8;1,1;8,6;0,2;0,7;0,2;0,9;
;Stadtteil Preungesheim ges.;10.222;3.983;3.965;838;2.025;330;347;33;48;24;266;10;31;8;5;
 ; in %; ;39,0;99,5;21,1;51,1;8,3;8,8;0,8;1,2;0,6;6,7;0,3;0,8;0,2;0,1;
;;;;;;;;;;;;;;;;;
;Stadtteil Riederwald;;;;;;;;;;;;;;;;
26201;Heilig-Geist-Gemeinde;1.652;485;481;49;298;25;71;2;5;2;24;1;1;0;3;
 ; in %; ;31,8;99,2;10,2;62,0;5,2;14,8;0,4;1,0;0,4;5,0;0,2;0,2;0,0;0,6;
26202;Heilig-Geist-Gemeinde;1.557;358;355;48;223;11;45;0;2;3;20;0;2;0;1;
 ; in %; ;24,9;99,2;13,5;62,8;3,1;12,7;0,0;0,6;0,8;5,6;0,0;0,6;0,0;0,3;
93300;Briefwahl Riederwald;0;227;227;35;148;6;22;4;2;0;6;0;3;0;1;
 ; in %; ;0,0;100;15,4;65,2;2,6;9,7;1,8;0,9;0,0;2,6;0,0;1,3;0,0;0,4;
;Stadtteil Riederwald ges.;3.209;1.070;1.063;132;669;42;138;6;9;5;50;1;6;0;5;
 ; in %; ;33,3;99,3;12,4;62,9;4,0;13,0;0,6;0,8;0,5;4,7;0,1;0,6;0,0;0,5;
;;;;;;;;;;;;;;;;;
;Stadtteil Rödelheim;;;;;;;;;;;;;;;;
40101;Sozial- und Rehazentrum West;1.308;280;280;44;145;26;40;1;6;1;13;2;1;1;0;
 ; in %; ;23,0;100;15,7;51,8;9,3;14,3;0,4;2,1;0,4;4,6;0,7;0,4;0,4;0,0;
40102;Sozial- und Rehazentrum West;1.227;385;382;66;208;34;44;4;6;2;15;0;2;1;0;
 ; in %; ;34,7;99,2;17,3;54,5;8,9;11,5;1,0;1,6;0,5;3,9;0,0;0,5;0,3;0,0;
40103;Ev. Cyriakus Gemeinde;1.485;430;429;51;196;44;113;4;6;1;9;0;2;1;2;
 ; in %; ;31,7;99,8;11,9;45,7;10,3;26,3;0,9;1,4;0,2;2,1;0,0;0,5;0,2;0,5;
40104;Michael-Ende-Schule;1.084;381;374;79;164;49;57;5;4;0;14;0;2;0;0;
 ; in %; ;38,4;98,2;21,1;43,9;13,1;15,2;1,3;1,1;0,0;3,7;0,0;0,5;0,0;0,0;
40105;DRK Ov. City-West;1.333;314;310;44;164;24;47;2;2;1;21;0;4;0;1;
 ; in %; ;25,5;98,7;14,2;52,9;7,7;15,2;0,6;0,6;0,3;6,8;0,0;1,3;0,0;0,3;
40201;Auguste-Oberwinter-Haus;1.974;524;523;96;238;55;81;14;4;3;27;1;3;1;0;
 ; in %; ;29,4;99,8;18,4;45,5;10,5;15,5;2,7;0,8;0,6;5,2;0,2;0,6;0,2;0,0;
40202;Brentanoschule;1.394;523;517;119;217;43;75;8;6;2;40;1;2;4;0;
 ; in %; ;41,9;98,9;23,0;42,0;8,3;14,5;1,5;1,2;0,4;7,7;0,2;0,4;0,8;0,0;
40203;Brentanoschule;1.206;304;303;75;162;16;24;2;4;0;15;1;0;2;2;
 ; in %; ;28,1;99,7;24,8;53,5;5,3;7,9;0,7;1,3;0,0;5,0;0,3;0,0;0,7;0,7;
40204;Brentanoschule;1.435;317;315;61;141;28;46;6;12;2;17;1;1;0;0;
 ; in %; ;24,8;99,4;19,4;44,8;8,9;14,6;1,9;3,8;0,6;5,4;0,3;0,3;0,0;0,0;
92001;Briefwahl Rödelheim;0;489;487;101;214;51;66;10;12;5;23;1;3;0;1;
 ; in %; ;0,0;99,6;20,7;43,9;10,5;13,6;2,1;2,5;1,0;4,7;0,2;0,6;0,0;0,2;
92002;Briefwahl Rödelheim;0;571;567;155;259;47;46;6;10;4;34;0;6;0;0;
 ; in %; ;0,0;99,3;27,3;45,7;8,3;8,1;1,1;1,8;0,7;6,0;0,0;1,1;0,0;0,0;
;Stadtteil Rödelheim ges.;12.446;4.518;4.487;891;2.108;417;639;62;72;21;228;7;26;10;6;
 ; in %; ;36,3;99,3;19,9;47,0;9,3;14,2;1,4;1,6;0,5;5,1;0,2;0,6;0,2;0,1;
;;;;;;;;;;;;;;;;;
;Stadtteil Sachsenhausen-Nord;;;;;;;;;;;;;;;;
30001;Bergiusschule;1.443;356;353;71;138;52;43;4;3;4;27;1;9;1;0;
 ; in %; ;26,9;99,2;20,1;39,1;14,7;12,2;1,1;0,8;1,1;7,6;0,3;2,5;0,3;0,0;
30002;Bergiusschule;1.375;358;357;66;147;62;52;4;4;0;17;2;2;1;0;
 ; in %; ;29,5;99,7;18,5;41,2;17,4;14,6;1,1;1,1;0,0;4,8;0,6;0,6;0,3;0,0;
32101;Schillerschule;1.259;437;436;113;184;55;36;3;2;3;29;0;6;5;0;
 ; in %; ;39,7;99,8;25,9;42,2;12,6;8,3;0,7;0,5;0,7;6,7;0,0;1,4;1,1;0,0;
32102;Schillerschule;1.066;449;448;122;173;64;41;7;3;9;26;0;2;1;0;
 ; in %; ;49,2;99,8;27,2;38,6;14,3;9,2;1,6;0,7;2,0;5,8;0,0;0,4;0,2;0,0;
32103;Carl-Schurz-Schule;1.541;501;499;124;228;59;42;3;4;1;31;1;6;0;0;
 ; in %; ;38,2;99,6;24,8;45,7;11,8;8,4;0,6;0,8;0,2;6,2;0,2;1,2;0,0;0,0;
32201;Riedhofschule;1.337;255;254;41;162;11;26;1;3;1;8;0;1;0;0;
 ; in %; ;20,1;99,6;16,1;63,8;4,3;10,2;0,4;1,2;0,4;3,1;0,0;0,4;0,0;0,0;
32202;Riedhofschule;1.662;481;477;130;214;51;31;4;8;1;31;0;7;0;0;
 ; in %; ;31,9;99,2;27,3;44,9;10,7;6,5;0,8;1,7;0,2;6,5;0,0;1,5;0,0;0,0;
32203;Carl-Schurz-Schule;1.432;629;627;215;243;71;39;4;4;1;42;0;5;2;1;
 ; in %; ;52,2;99,7;34,3;38,8;11,3;6,2;0,6;0,6;0,2;6,7;0,0;0,8;0,3;0,2;
32204;Carl-Schurz-Schule;1.147;333;332;96;131;52;25;1;6;1;14;1;4;1;0;
 ; in %; ;34,7;99,7;28,9;39,5;15,7;7,5;0,3;1,8;0,3;4,2;0,3;1,2;0,3;0,0;
32205;Carl-Schurz-Schule;1.115;448;447;142;182;46;27;4;3;1;38;0;4;0;0;
 ; in %; ;49,5;99,8;31,8;40,7;10,3;6,0;0,9;0,7;0,2;8,5;0,0;0,9;0,0;0,0;
32401;Freiherr-vom-Stein-Schule;1.484;522;521;102;226;69;75;5;4;3;29;1;5;1;1;
 ; in %; ;40,3;99,8;19,6;43,4;13,2;14,4;1,0;0,8;0,6;5,6;0,2;1,0;0,2;0,2;
32402;Konferenzsaal im Park;1.338;462;458;136;186;55;34;4;6;2;28;1;6;0;0;
 ; in %; ;40,3;99,1;29,7;40,6;12,0;7,4;0,9;1,3;0,4;6,1;0,2;1,3;0,0;0,0;
32403;Textorschule;1.347;525;520;128;228;68;52;6;7;2;22;1;5;1;0;
 ; in %; ;45,7;99,0;24,6;43,8;13,1;10,0;1,2;1,3;0,4;4,2;0,2;1,0;0,2;0,0;
32404;Textorschule;1.518;461;460;115;192;52;38;6;3;0;48;1;5;0;0;
 ; in %; ;35,4;99,8;25,0;41,7;11,3;8,3;1,3;0,7;0,0;10,4;0,2;1,1;0,0;0,0;
33101;Kita Krachmacherstraße;1.855;577;575;164;251;62;39;8;8;4;32;2;4;1;0;
 ; in %; ;33,8;99,7;28,5;43,7;10,8;6,8;1,4;1,4;0,7;5,6;0,3;0,7;0,2;0,0;
33102;KiZ 84;1.445;342;340;62;152;41;53;11;2;0;15;3;1;0;0;
 ; in %; ;25,6;99,4;18,2;44,7;12,1;15,6;3,2;0,6;0,0;4,4;0,9;0,3;0,0;0,0;
33103;KiZ 123;1.077;267;264;46;123;32;34;1;5;2;10;2;8;0;1;
 ; in %; ;26,4;98,9;17,4;46,6;12,1;12,9;0,4;1,9;0,8;3,8;0,8;3,0;0,0;0,4;
91301;Briefwahl Sachsenhausen-Nord;0;248;248;76;97;24;16;3;9;0;19;2;2;0;0;
 ; in %; ;0,0;100;30,6;39,1;9,7;6,5;1,2;3,6;0,0;7,7;0,8;0,8;0,0;0,0;
91302;Briefwahl Sachsenhausen-Nord;0;491;490;178;179;52;34;5;3;4;24;0;10;1;0;
 ; in %; ;0,0;99,8;36,3;36,5;10,6;6,9;1,0;0,6;0,8;4,9;0,0;2,0;0,2;0,0;
91303;Briefwahl Sachsenhausen-Nord;0;414;413;129;192;31;24;6;6;1;18;1;5;0;0;
 ; in %; ;0,0;99,8;31,2;46,5;7,5;5,8;1,5;1,5;0,2;4,4;0,2;1,2;0,0;0,0;
91304;Briefwahl Sachsenhausen-Nord;0;356;354;155;117;34;21;1;2;2;21;0;1;0;0;
 ; in %; ;0,0;99,4;43,8;33,1;9,6;5,9;0,3;0,6;0,6;5,9;0,0;0,3;0,0;0,0;
91305;Briefwahl Sachsenhausen-Nord;0;333;332;113;120;38;22;5;4;0;18;1;11;0;0;
 ; in %; ;0,0;99,7;34,0;36,1;11,4;6,6;1,5;1,2;0,0;5,4;0,3;3,3;0,0;0,0;
91306;Briefwahl Sachsenhausen-Nord;0;378;377;130;139;49;31;5;5;1;14;0;3;0;0;
 ; in %; ;0,0;99,7;34,5;36,9;13,0;8,2;1,3;1,3;0,3;3,7;0,0;0,8;0,0;0,0;
91307;Briefwahl Sachsenhausen-Nord;0;317;315;114;124;28;18;0;7;0;20;0;4;0;0;
 ; in %; ;0,0;99,4;36,2;39,4;8,9;5,7;0,0;2,2;0,0;6,3;0,0;1,3;0,0;0,0;
;Stadtteil Sachsenhausen-Nord ges.;23.441;9.940;9.897;2.768;4.128;1.158;853;101;111;43;581;20;116;15;3;
 ; in %; ;42,4;99,6;28,0;41,7;11,7;8,6;1,0;1,1;0,4;5,9;0,2;1,2;0,2;0,0;
;;;;;;;;;;;;;;;;;
;Stadtteil Sachsenhausen-Süd;;;;;;;;;;;;;;;;
32301;Freiherr-vom-Stein-Schule;1.655;540;539;141;219;71;57;6;1;2;23;0;16;2;1;
 ; in %; ;38,1;99,8;26,2;40,6;13,2;10,6;1,1;0,2;0,4;4,3;0,0;3,0;0,4;0,2;
32302;Freiherr-vom-Stein-Schule;1.478;418;415;123;176;33;35;4;2;3;31;1;7;0;0;
 ; in %; ;35,5;99,3;29,6;42,4;8,0;8,4;1,0;0,5;0,7;7,5;0,2;1,7;0,0;0,0;
32303;Riedhofschule;1.589;497;497;125;201;72;53;8;1;3;24;0;10;0;0;
 ; in %; ;37,3;100;25,2;40,4;14,5;10,7;1,6;0,2;0,6;4,8;0,0;2,0;0,0;0,0;
32304;Martin-Buber-Schule;1.743;519;516;158;223;42;28;1;2;3;57;0;2;0;0;
 ; in %; ;36,1;99,4;30,6;43,2;8,1;5,4;0,2;0,4;0,6;11,0;0,0;0,4;0,0;0,0;
32305;Martin-Buber-Schule;1.630;324;320;95;121;38;23;1;5;1;28;2;4;2;0;
 ; in %; ;22,8;98,8;29,7;37,8;11,9;7,2;0,3;1,6;0,3;8,8;0,6;1,3;0,6;0,0;
32306;Freiherr-vom-Stein-Schule;1.572;377;376;95;172;38;20;4;9;2;30;0;6;0;0;
 ; in %; ;28,9;99,7;25,3;45,7;10,1;5,3;1,1;2,4;0,5;8,0;0,0;1,6;0,0;0,0;
32601;Konrad-von-Preysing-Haus;1.223;355;355;80;192;25;24;1;7;2;21;0;1;2;0;
 ; in %; ;31,6;100;22,5;54,1;7,0;6,8;0,3;2,0;0,6;5,9;0,0;0,3;0,6;0,0;
32602;Konrad-von-Preysing-Haus;1.354;355;351;93;182;24;19;3;1;1;16;0;12;0;0;
 ; in %; ;31,0;98,9;26,5;51,9;6,8;5,4;0,9;0,3;0,3;4,6;0,0;3,4;0,0;0,0;
32603;Riedhofschule;1.098;250;248;35;126;18;32;2;2;3;27;0;1;1;1;
 ; in %; ;24,9;99,2;14,1;50,8;7,3;12,9;0,8;0,8;1,2;10,9;0,0;0,4;0,4;0,4;
33201;Oberin-Martha-Keller-Haus;1.368;389;387;93;190;28;30;2;5;2;32;0;5;0;0;
 ; in %; ;36,8;99,5;24,0;49,1;7,2;7,8;0,5;1,3;0,5;8,3;0,0;1,3;0,0;0,0;
33202;Oberin-Martha-Keller-Haus;1.480;449;446;139;192;47;24;2;5;0;32;0;4;0;1;
 ; in %; ;37,8;99,3;31,2;43,0;10,5;5,4;0,4;1,1;0,0;7,2;0,0;0,9;0,0;0,2;
33203;Bürgermeister-Gräf-Haus;644;153;152;39;75;16;9;2;3;0;6;1;1;0;0;
 ; in %; ;26,6;99,3;25,7;49,3;10,5;5,9;1,3;2,0;0,0;3,9;0,7;0,7;0,0;0,0;
33204;Bürgermeister-Gräf-Haus;1.386;392;387;117;146;27;43;8;4;2;29;3;7;1;0;
 ; in %; ;32,9;98,7;30,2;37,7;7,0;11,1;2,1;1,0;0,5;7,5;0,8;1,8;0,3;0,0;
33205;Mühlbergschule Pavillonanlage;1.477;441;439;106;205;45;42;3;3;3;27;0;5;0;0;
 ; in %; ;35,4;99,5;24,1;46,7;10,3;9,6;0,7;0,7;0,7;6,2;0,0;1,1;0,0;0,0;
33206;Bürgermeister-Gräf-Haus;1.013;337;336;94;125;55;35;4;2;4;13;0;3;1;0;
 ; in %; ;39,3;99,7;28,0;37,2;16,4;10,4;1,2;0,6;1,2;3,9;0,0;0,9;0,3;0,0;
91401;Briefwahl Sachsenhausen-Süd;0;499;499;194;181;42;19;3;15;1;34;1;9;0;0;
 ; in %; ;0,0;100;38,9;36,3;8,4;3,8;0,6;3,0;0,2;6,8;0,2;1,8;0,0;0,0;
91402;Briefwahl Sachsenhausen-Süd;0;516;516;199;180;46;27;3;6;1;50;1;2;1;0;
 ; in %; ;0,0;100;38,6;34,9;8,9;5,2;0,6;1,2;0,2;9,7;0,2;0,4;0,2;0,0;
91403;Briefwahl Sachsenhausen-Süd;0;419;417;154;166;25;29;2;4;3;30;0;3;0;1;
 ; in %; ;0,0;99,5;36,9;39,8;6,0;7,0;0,5;1,0;0,7;7,2;0,0;0,7;0,0;0,2;
91404;Briefwahl Sachsenhausen-Süd;0;359;358;109;175;19;17;1;5;0;29;0;0;1;2;
 ; in %; ;0,0;99,7;30,4;48,9;5,3;4,7;0,3;1,4;0,0;8,1;0,0;0,0;0,3;0,6;
91405;Briefwahl Sachsenhausen-Süd;0;547;547;191;219;46;35;4;3;8;35;0;6;0;0;
 ; in %; ;0,0;100;34,9;40,0;8,4;6,4;0,7;0,5;1,5;6,4;0,0;1,1;0,0;0,0;
91406;Briefwahl Sachsenhausen-Süd;0;603;599;232;236;59;32;6;6;0;24;1;3;0;0;
 ; in %; ;0,0;99,3;38,7;39,4;9,8;5,3;1,0;1,0;0,0;4,0;0,2;0,5;0,0;0,0;
;Stadtteil Sachsenhausen-Süd ges.;20.710;8.739;8.700;2.612;3.702;816;633;70;91;44;598;10;107;11;6;
 ; in %; ;42,2;99,6;30,0;42,6;9,4;7,3;0,8;1,0;0,5;6,9;0,1;1,2;0,1;0,1;
;;;;;;;;;;;;;;;;;
;Stadtteil Schwanheim;;;;;;;;;;;;;;;;
53101;August-Gräser-Schule;1.316;336;334;99;177;12;9;2;5;0;23;0;5;2;0;
 ; in %; ;27,7;99,4;29,6;53,0;3,6;2,7;0,6;1,5;0,0;6,9;0,0;1,5;0,6;0,0;
53102;August-Gräser-Schule;1.270;517;513;205;198;28;32;3;15;2;22;1;7;0;0;
 ; in %; ;47,7;99,2;40,0;38,6;5,5;6,2;0,6;2,9;0,4;4,3;0,2;1,4;0,0;0,0;
53103;August-Gräser-Schule;1.298;495;488;197;207;20;24;4;10;3;18;0;2;3;0;
 ; in %; ;41,0;98,6;40,4;42,4;4,1;4,9;0,8;2,0;0,6;3,7;0,0;0,4;0,6;0,0;
53104;Minna-Specht-Schule;1.263;411;409;141;164;19;28;6;10;6;27;0;8;0;0;
 ; in %; ;36,4;99,5;34,5;40,1;4,6;6,8;1,5;2,4;1,5;6,6;0,0;2,0;0,0;0,0;
53105;Minna-Specht-Schule;1.341;344;339;78;182;17;28;3;0;3;22;0;4;1;1;
 ; in %; ;27,5;98,5;23,0;53,7;5,0;8,3;0,9;0,0;0,9;6,5;0,0;1,2;0,3;0,3;
53201;Minna-Specht-Schule;1.379;355;352;92;177;15;21;1;7;1;33;0;5;0;0;
 ; in %; ;28,0;99,2;26,1;50,3;4,3;6,0;0,3;2,0;0,3;9,4;0,0;1,4;0,0;0,0;
53202;Goldsteinschule;1.130;336;328;86;162;19;19;4;7;0;31;0;0;0;0;
 ; in %; ;32,5;97,6;26,2;49,4;5,8;5,8;1,2;2,1;0,0;9,5;0,0;0,0;0,0;0,0;
53203;Goldsteinschule;1.286;294;293;90;161;7;12;1;5;1;13;0;3;0;0;
 ; in %; ;24,9;99,7;30,7;54,9;2,4;4,1;0,3;1,7;0,3;4,4;0,0;1,0;0,0;0,0;
53204;Saalbau Haus Goldstein;1.327;514;511;133;287;14;14;1;4;2;46;1;7;0;2;
 ; in %; ;43,7;99,4;26,0;56,2;2,7;2,7;0,2;0,8;0,4;9,0;0,2;1,4;0,0;0,4;
53205;Saalbau Haus Goldstein;1.133;294;292;67;165;10;10;2;4;1;30;0;2;1;0;
 ; in %; ;28,2;99,3;22,9;56,5;3,4;3,4;0,7;1,4;0,3;10,3;0,0;0,7;0,3;0,0;
53206;Goldsteinschule;1.193;225;224;67;125;3;16;1;2;0;9;0;0;1;0;
 ; in %; ;20,0;99,6;29,9;55,8;1,3;7,1;0,4;0,9;0,0;4,0;0,0;0,0;0,4;0,0;
91801;Briefwahl Schwanheim;0;562;560;228;235;27;20;1;11;9;22;2;3;2;0;
 ; in %; ;0,0;99,6;40,7;42,0;4,8;3,6;0,2;2,0;1,6;3,9;0,4;0,5;0,4;0,0;
91802;Briefwahl Schwanheim;0;578;574;201;284;19;25;4;4;2;29;0;4;1;1;
 ; in %; ;0,0;99,3;35,0;49,5;3,3;4,4;0,7;0,7;0,3;5,1;0,0;0,7;0,2;0,2;
;Stadtteil Schwanheim ges.;13.936;5.261;5.217;1.684;2.524;210;258;33;84;30;325;4;50;11;4;
 ; in %; ;37,8;99,2;32,3;48,4;4,0;4,9;0,6;1,6;0,6;6,2;0,1;1,0;0,2;0,1;
;;;;;;;;;;;;;;;;;
;Stadtteil Seckbach;;;;;;;;;;;;;;;;
39001;Henry und Emma Budge-Stiftung;906;333;331;87;171;30;14;4;3;0;16;1;4;0;1;
 ; in %; ;41,2;99,4;26,3;51,7;9,1;4,2;1,2;0,9;0,0;4,8;0,3;1,2;0,0;0,3;
